Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82294;14/06/1961;0000;;32.5;;;;;;1.333333;
82294;14/06/1961;1200;0;;20.1;;;;;;
82294;15/06/1961;0000;;31.3;;;;;;1.333333;
82294;15/06/1961;1200;0;;22.5;;;;;;
82294;16/06/1961;0000;;32.7;;;;;;1.333333;
82294;16/06/1961;1200;0;;22.1;;;;;;
82294;17/06/1961;0000;;32.5;;;;;;0.666667;
82294;17/06/1961;1200;0;;20.7;;;;;;
82294;18/06/1961;0000;;32.3;;;;;;0.666667;
82294;18/06/1961;1200;0;;22.1;;;;;;
82294;19/06/1961;0000;;31.9;;;;;;0.666667;
82294;19/06/1961;1200;0;;20.3;;;;;;
82294;20/06/1961;0000;;31.9;;;;;;1.333333;
82294;20/06/1961;1200;0;;20.1;;;;;;
82294;21/06/1961;0000;;31.9;;;;;;1.333333;
82294;21/06/1961;1200;0;;20.1;;;;;;
82294;22/06/1961;0000;;31.7;;;;;;2;
82294;22/06/1961;1200;0;;22.1;;;;;;
82294;23/06/1961;0000;;31.9;;;;;;2.666667;
82294;23/06/1961;1200;0;;20.1;;;;;;
82294;24/06/1961;0000;;31.9;;;;;;0.666667;
82294;24/06/1961;1200;0;;20.7;;;;;;
82294;25/06/1961;0000;;32.3;;;;;;0;
82294;25/06/1961;1200;0;;20.9;;;;;;
82294;26/06/1961;0000;;31.5;;;;;;0.666667;
82294;26/06/1961;1200;0;;22.1;;;;;;
82294;27/06/1961;0000;;31.9;;;;;;0.666667;
82294;27/06/1961;1200;0;;20.7;;;;;;
82294;28/06/1961;0000;;31.7;;;;;;0;
82294;28/06/1961;1200;0;;20.1;;;;;;
82294;29/06/1961;0000;;31.9;;;;;;0.666667;
82294;29/06/1961;1200;0;;20.9;;;;;;
82294;30/06/1961;0000;;31.5;;;;;;1.333333;
82294;30/06/1961;1200;0;;20.5;;;;;;
82294;31/07/1961;0000;;32.7;;;;;;1.333333;
82294;31/07/1961;1200;0;;22.3;;;;;;
82294;01/08/1961;0000;;32.3;;;;;;4;
82294;01/08/1961;1200;0;;20.1;;;;;;
82294;01/09/1961;0000;;32.3;;;;;;2;
82294;01/09/1961;1200;;;20.5;;;;;;
82294;02/09/1961;0000;;32.3;;;;;;0.666667;
82294;02/09/1961;1200;0;;20.1;;;;;;
82294;03/09/1961;0000;;32.5;;;;;;1.333333;
82294;03/09/1961;1200;0;;20.3;;;;;;
82294;04/09/1961;0000;;31.9;;;;;;1.333333;
82294;04/09/1961;1200;0;;20.1;;;;;;
82294;05/09/1961;0000;;32.7;;;;;;1.333333;
82294;05/09/1961;1200;0;;21.1;;;;;;
82294;06/09/1961;0000;;32.5;;;;;;1.333333;
82294;06/09/1961;1200;0;;20.9;;;;;;
82294;07/09/1961;0000;;30.4;;;;;;2;
82294;07/09/1961;1200;0;;20.1;;;;;;
82294;08/09/1961;0000;;31.9;;;;;;2;
82294;08/09/1961;1200;0;;18.9;;;;;;
82294;09/09/1961;0000;;32.5;;;;;;2;
82294;09/09/1961;1200;0;;20.1;;;;;;
82294;10/09/1961;0000;;31.9;;;;;;2;
82294;10/09/1961;1200;0;;20.1;;;;;;
82294;11/09/1961;0000;;32.3;;;;;;1.333333;
82294;11/09/1961;1200;0;;22.1;;;;;;
82294;12/09/1961;0000;;31;;;;;;1.333333;
82294;12/09/1961;1200;0;;18.1;;;;;;
82294;13/09/1961;0000;;31.9;;;;;;2.666667;
82294;13/09/1961;1200;0;;18.1;;;;;;
82294;14/09/1961;0000;;30;;;;;;2;
82294;14/09/1961;1200;0;;17.9;;;;;;
82294;15/09/1961;0000;;31.9;;;;;;1.333333;
82294;15/09/1961;1200;0;;21.1;;;;;;
82294;16/09/1961;0000;;31.7;;;;;;2.333333;
82294;16/09/1961;1200;0;;18.1;;;;;;
82294;17/09/1961;0000;;31.9;;;;;;2;
82294;17/09/1961;1200;0;;19.9;;;;;;
82294;18/09/1961;0000;;32.5;;;;;;2.666667;
82294;18/09/1961;1200;0;;20.3;;;;;;
82294;19/09/1961;0000;;32.7;;;;;;2.666667;
82294;19/09/1961;1200;0;;21.3;;;;;;
82294;20/09/1961;0000;;32.3;;;;;;1;
82294;20/09/1961;1200;0;;20.5;;;;;;
82294;21/09/1961;0000;;31.9;;;;;;2.666667;
82294;21/09/1961;1200;0;;19.7;;;;;;
82294;22/09/1961;0000;;32.5;;;;;;1.333333;
82294;22/09/1961;1200;0;;18.9;;;;;;
82294;23/09/1961;0000;;31.9;;;;;;1.333333;
82294;23/09/1961;1200;0;;20.1;;;;;;
82294;24/09/1961;0000;;31.9;;;;;;3.333333;
82294;24/09/1961;1200;0;;20.5;;;;;;
82294;25/09/1961;0000;;32.5;;;;;;2.666667;
82294;25/09/1961;1200;0;;19.7;;;;;;
82294;26/09/1961;0000;;31.9;;;;;;1.333333;
82294;26/09/1961;1200;0;;21.1;;;;;;
82294;27/09/1961;0000;;32.5;;;;;;4;
82294;27/09/1961;1200;0;;23.1;;;;;;
82294;28/09/1961;0000;;31.9;;;;;;2.666667;
82294;28/09/1961;1200;0;;20.5;;;;;;
82294;29/09/1961;0000;;32.3;;;;;;3.333333;
82294;29/09/1961;1200;0;;20.9;;;;;;
82294;30/09/1961;0000;;32.7;;;;;;3.333333;
82294;30/09/1961;1200;0;;22.1;;;;;;
82294;01/10/1961;0000;;31.7;;;;;;2.666667;
82294;01/10/1961;1200;0;;20.1;;;;;;
82294;02/10/1961;0000;;31.9;;;;;;3.333333;
82294;02/10/1961;1200;0;;21.1;;;;;;
82294;03/10/1961;0000;;32.7;;;;;;2.666667;
82294;03/10/1961;1200;0;;21.3;;;;;;
82294;04/10/1961;0000;;32.3;;;;;;2.666667;
82294;04/10/1961;1200;0;;20.9;;;;;;
82294;05/10/1961;0000;;32.5;;;;;;2;
82294;05/10/1961;1200;0;;20.9;;;;;;
82294;06/10/1961;0000;;31.9;;;;;;3.333333;
82294;06/10/1961;1200;0;;21.9;;;;;;
82294;07/10/1961;0000;;31.5;;;;;;2.666667;
82294;07/10/1961;1200;0;;20.1;;;;;;
82294;08/10/1961;0000;;31.7;;;;;;3.333333;
82294;08/10/1961;1200;0;;20.5;;;;;;
